Topic,Count,Name,Representation,Representative_Docs
-1,1510,-1_climate_global_carbon_change,"['climate', 'global', 'carbon', 'change', 'warming', 'dioxide', 'temperature', 'emissions', 'temperatures', 'greenhouse']","['american public health association policy statement addressing the urgent threat of global climate change to public health and the environment 2007 archived from the original on 2009-12-31 the long-term threat of global climate change to global health is extremely serious and the fourth ipcc report and other scientific literature demonstrate convincingly that anthropogenic greenhouse gases emissions are primarily responsible for this policy makers should immediately take necessary steps to reduce us emissions of greenhouse gases including carbon dioxide to avert dangerous climate change', 'the statement concludes with a call for reduction in anthropogenic human-caused sources of carbon dioxide and other greenhouse gas emissions contributing to global climate change and the conservation of carbon dioxide- consuming photosynthesizers plants', 'singer argues contrary to the scientific consensus on climate change that there is no evidence that global warming is attributable to human-caused increases in atmospheric carbon dioxide and that humanity would benefit if temperatures do rise']"
0,337,0_human_scientific_climate_warming,"['human', 'scientific', 'climate', 'warming', 'greenhouse', 'change', 'global', 'gases', 'carbon', 'activities']","['a consensus based on current evidence now exists within the global scientific community that human activities are the main source of climate change and that the burning of fossil fuels is largely responsible for driving this change', 'network of african science academies a consensus based on current evidence now exists within the global scientific community that human activities are the main source of climate change and that the burning of fossil fuels is largely responsible for driving this change', 'human activities primarily the burning of fossil fuels coal oil and natural gas and secondarily the clearing of land have increased the concentration of carbon dioxide methane and other heat-trapping greenhouse gases in the atmosphere there is international scientific consensus that most of the warming observed over the last 50 years is attributable to human activities']"
1,258,1_period_temperature_years_age,"['period', 'temperature', 'years', 'age', 'century', 'ago', 'warming', 'methane', 'global', 'ice']","['its main findings were 20th century instrumentally measured warming showed in observational evidence and can be simulated with climate models large-scale surface temperature reconstructions yield a generally consistent picture of temperature trends during the preceding millennium including the medieval warm period and the little ice age but the exact timing and duration of warm periods may have varied from region to region and the magnitude and geographic extent of the warmth are uncertain', 'the ipcc first assessment report in 1990 noted evidence that holocene climatic optimum around years ago had been warmer than the present at least in summer and that in some areas there had been exceptional warmth during a shorter medieval warm period which may not have been global about ad 950-1250 followed by a cooler period of the little ice age which ended only in the middle to late nineteenth century', 'thus current evidence does not support globally synchronous periods of anomalous cold or warmth over this interval and the conventional terms of little ice age and medieval warm period appear to have limited utility in describing trends in hemispheric or global mean temperature changes in past centuries viewed hemispherically the little ice age can only be considered as a modest cooling of the northern hemisphere during this period of less than relative to late twentieth century levels']"
2,222,2_ice_sea_arctic_sheet,"['ice', 'sea', 'arctic', 'sheet', 'greenland', 'melting', 'antarctic', 'mass', 'glaciers', 'antarctica']","['antarctic ice shelf disintegration triggered by sea ice loss and ocean swell', 'in contrast to the melting of the arctic sea ice sea ice around antarctica has been expanding as of 2013 update', 'the effects of global warming in the arctic include rising temperatures loss of sea ice and melting of the greenland ice sheet']"
3,184,3_extreme_droughts_weather_heat,"['extreme', 'droughts', 'weather', 'heat', 'hurricane', 'drought', 'waves', 'events', 'flooding', 'floods']","['other likely changes are listed below increased areas will be affected by drought there will be increased intense tropical cyclone activity there will be increased incidences of extreme high sea level excluding tsunamis storm strength leading to extreme weather is increasing such as the power dissipation index of hurricane intensity', 'other likely changes include more frequent extreme weather events such as heat waves droughts wildfires heavy rainfall with floods and heavy snowfall ocean acidification and massive extinctions of species due to shifting temperature regimes', 'the main impact of global warming on the weather is an increase in extreme weather events such as heat waves droughts cyclones blizzards and rainstorms']"
4,143,4_atmosphere_radiation_infrared_surface,"['atmosphere', 'radiation', 'infrared', 'surface', 'water', 'air', 'temperature', 'greenhouse', 'earth', 'effect']","['this heat in the form of infrared radiation gets absorbed and emitted by these gases in the atmosphere thus warming the lower atmosphere and the surface', 'the greenhouse effect is the process by which radiation from a planet atmosphere warms the planet surface to a temperature above what it would be without this atmosphere', 'the greenhouse effect is a process by which thermal radiation from a planetary atmosphere warms the planet surface beyond the temperature it would have in the absence of its atmosphere']"
5,90,5_warmest_record_month_january,"['warmest', 'record', 'month', 'january', 'recorded', 'average', 'temperature', 'winter', 'february', 'hottest']","['the coldest month of the year is january with an average temperature of 31', '2016 was the warmest year on record', 'the hottest officially recorded temperature was 103 39 on july 29 2009 the coldest recorded temperature was 0 on january 31 1950 the record cold daily maximum is 16 on january 14 1950 while conversely the record warm daily minimum is 71 22 the day the official record high was set']"
6,70,6_solar_orbit_sun_earth,"['solar', 'orbit', 'sun', 'earth', 'cosmic', 'orbital', 'years', 'changes', 'variation', 'period']","['danish physicist henrik svensmark has controversially argued that because solar variation modulates the cosmic ray flux on earth they would consequently affect the rate of cloud formation and hence be an indirect cause of global warming', 'pluto has yet to complete a full orbit of the sun since its discovery as one plutonian year is years long', 'the consensus is that several factors are important atmospheric composition such as the concentrations of carbon dioxide and methane the specific levels of the previously mentioned gases are now able to be seen with the new ice core samples from epica dome c in antarctica over the past years changes in the earth orbit around the sun known as milankovitch cycles the motion of tectonic plates resulting in changes in the relative location and amount of continental and oceanic crust on the earth surface which affect wind and ocean currents variations in solar output the orbital dynamics of the system the impact of relatively large meteorites and volcanism including eruptions of supervolcanoes']"
7,62,7_ocean_acidification_oceans_carbon,"['ocean', 'acidification', 'oceans', 'carbon', 'dioxide', 'marine', 'organisms', 'decrease', 'corals', 'atmosphere']","['as the concentration of carbon dioxide increases in the atmosphere the increased uptake of carbon dioxide into the oceans is causing a measurable decrease in the ph of the oceans which is referred to as ocean acidification', 'carbon dioxide emissions cause ocean acidification the ongoing decrease in the ph of the earth oceans as carbon dioxide becomes dissolved', 'ocean acidification is the ongoing decrease in the ph of the earth oceans caused by the uptake of carbon dioxide carbon dioxide from the atmosphere']"
8,55,8_energy_power_renewable_electricity,"['energy', 'power', 'renewable', 'electricity', 'solar', 'wind', 'jobs', 'sources', 'coal', 'heating']","['as most of renewable energy technologies provide electricity renewable energy deployment is often applied in conjunction with further electrification which has several benefits electricity can be converted to heat where necessary generating higher temperatures than fossil fuels can be converted into mechanical energy with high efficiency and is clean at the point of consumption', 'the remainder was supplied by nuclear power and renewable energy sources', 'the improved flexibility of the smart grid permits greater penetration of highly variable renewable energy sources such as solar power and wind power even without the addition of energy storage']"
9,43,9_level_sea_rise_cm,"['level', 'sea', 'rise', 'cm', 'century', '2100', 'rose', 'average', 'mean', 'ft']","['20th century acceleration in global sea-level rise', 'mean sea level msl this is the average sea level', 'accelerated sea-level rise detected in the altimeter era']"
10,34,10_disease_deaths_health_death,"['disease', 'deaths', 'health', 'death', 'million', 'pollution', 'high', 'public', 'cause', 'estimates']","['air pollution linked to million premature deaths in china', 'worldwide exposure to contributed to million deaths from heart disease and stroke lung cancer chronic lung disease and respiratory infections in 2016', 'the world health organization estimated in 2004 that of worldwide deaths were from ischemic heart disease with it being the leading cause of death in high- or middle-income countries and second only to lower respiratory infections in lower-income countries']"
