Topic,Count,Name,Representation,Representative_Docs
-1,19170,-1_climate_energy_change_emissions,"['climate', 'energy', 'change', 'emissions', 'global', 'ice', 'warming', 'carbon', 'greenhouse', 'temperature']","['The figure shows that overall primary energy demand in 2040 can be kept at today’s level (increasing efficiency), renewable sources can increase their share to about 30% half of which is solar and wind, nuclear increases to about 10% (by growth in Asia), natural gas increases slightly, oil peaks soon, coal declines immediately, fossil fuels will meet about 60% of total demand (down from 82% now).', 'Cumulative anthropogenic (i.e., human-emitted) emissions of CO 2 from fossil fuel use are a major cause of global warming, and give some indication of which countries have contributed most to human-induced climate change.', 'European Science Foundation in a 2007 position paper states: There is now convincing evidence that since the industrial revolution, human activities, resulting in increasing concentrations of greenhouse gases have become a major agent of climate change\xa0... On-going and increased efforts to mitigate climate change through reduction in greenhouse gases are therefore crucial.']"
0,763,0_hurricane_tropical_storm_cyclones,"['hurricane', 'tropical', 'storm', 'cyclones', 'cyclone', 'damage', 'flooding', 'killed', 'flood', 'season']","['The seventh tropical cyclone and third named storm of the annual hurricane season, Chris developed from a tropical wave while roughly midway between Africa and the Lesser Antilles on August 21.', 'It was one of three deadly hurricanes during the 1893 Atlantic hurricane season ; the storm killed an estimated 1,000 -- 2,000 people, mostly from storm surge.', 'The 1925 Florida tropical storm was the deadliest tropical cyclone to impact the United States that did not become a hurricane.']"
1,654,1_scientific_science_warming_scientists,"['scientific', 'science', 'warming', 'scientists', 'global', 'book', 'media', 'climate', 'change', 'journal']","['He has published more than 250 peer-reviewed scientific articles, including several in the scientific journals ""Nature"" and ""Science"""".', 'Despite this scientific consensus on climate change, allegations have been made that scientists and institutions involved in global warming research are part of a global scientific conspiracy or engaged in a manipulative hoax.', 'In their 2010 book ""Merchants of Doubt"", Naomi Oreskes and Erik M. Conway wrote that the Institute was known ""for its persistent questioning of climate science, for its promotion of \'experts\' who have done little, if any, peer-reviewed climate research, and for its sponsorship of a conference in New York City in 2008 alleging that the scientific community\'s work on global warming is fake.']"
2,349,2_solar_photovoltaic_power_thermal,"['solar', 'photovoltaic', 'power', 'thermal', 'panels', 'photovoltaics', 'systems', 'electricity', 'cells', 'heating']","['These cells are assembled into solar panels as part of a photovoltaic system to generate solar power from sunlight.', 'As of July 2012, the largest photovoltaic (PV) power plants in the world are the Agua Caliente Solar Project (USA, 247 MW), Charanka Solar Park (India, 214 MW), Golmud Solar Park (China, 200 MW), Perovo Solar Park (Russia 100 MW), Sarnia Photovoltaic Power Plant (Canada, 97 MW), Brandenburg-Briest Solarpark (Germany 91 MW), Solarpark Finow Tower (Germany 84.7 MW), Montalto di Castro Photovoltaic Power Station (Italy, 84.2 MW), Eggebek Solar Park (Germany 83.6 MW), Senftenberg Solarpark (Germany 82 MW), Finsterwalde Solar Park (Germany, 80.7 MW), Okhotnykovo Solar Park (Russia, 80\xa0MW), Lopburi Solar Farm (Thailand 73.16 MW), Rovigo Photovoltaic Power Plant (Italy, 72 MW), and the Lieberose Photovoltaic Park (Germany, 71.8\xa0MW).', 'J. Sussman, Inc. relies on solar energy to power its factory.']"
3,338,3_elevation_feet_level_sea,"['elevation', 'feet', 'level', 'sea', 'ft', 'lies', 'meters', 'metres', 'highest', 'altitude']","['The elevation of the village is 4 m below sea level.', 'It has an elevation of 495 feet (151 m) above sea level.', 'Its elevation is over 1720 feet above sea level.']"
4,317,4_deforestation_forest_forests_trees,"['deforestation', 'forest', 'forests', 'trees', 'reforestation', 'carbon', 'land', 'cover', 'forestry', 'tropical']","[""The underlying idea is that developing nations should be financially compensated if they succeed in reducing their levels of deforestation (through valuing the carbon that is stored in forests); a concept termed 'avoided deforestation (AD) or, REDD if broadened to include reducing forest degradation (see Reducing emissions from deforestation and forest degradation)."", 'Deforestation, clearance, clearcutting or clearing is the removal of a forest or stand of trees from land which is then converted to a non-forest use.', 'Then deforestation rates accelerate (HFHD, high forest cover – high deforestation rate), and forest cover is reduced (LFHD, low forest cover – high deforestation rate), before the deforestation rate slows (LFLD, low forest cover – low deforestation rate), after which forest cover stabilizes and eventually starts recovering.']"
5,286,5_population_growth_rate_birth,"['population', 'growth', 'rate', 'birth', 'billion', 'rates', 'great', 'urban', 'overpopulation', 'economic']","['Over the last few decades, global population growth has largely been driven by developing countries, which often have higher birth rates (higher fertility rate) than developed countries.', 'The annual population growth rate increased by 0.3 % in 2007.', 'The natural population growth rate is 5.87 %.']"
6,263,6_coal_mining_ash_tonnes,"['coal', 'mining', 'ash', 'tonnes', 'fired', 'reserves', 'burned', 'burning', 'gas', 'power']","['As well as mining coal in China, the country also imports coal to burn for coal-fired electricity.', 'In its purification, coal is crushed in a coal preparation plant and then separated and transported as a coal slurry, From the slurry, incombustible materials are removed and the coal can be sized.', 'Least favored is coal, with about one in three Americans favouring it.']"
7,261,7_warmest_temperature_record_temperatures,"['warmest', 'temperature', 'record', 'temperatures', 'average', 'month', 'recorded', 'records', 'hottest', 'summer']","['The warmest year on record is 2012, with a mean temperature of 57.4\xa0°F (14.1\xa0°C).', 'The warmest month is July when the average temperature is 30 ° C, and the coldest is January, with 1 ° C. Average annual rainfall is 211 mm.', ""A paper on Greenland's temperature record shows that the warmest year on record was 1941 while the warmest decades were the 1930s and 1940s.""]"
8,260,8_ended_event_season_began,"['ended', 'event', 'season', 'began', 'took', 'place', '22', 'started', '2013', '2009']","['The season began on January 31 and ended on December 7.', 'The season started on 22 August 2016 and ended on 16 April 2017.', 'The season began on 6 August 2016 and ended on 31 May 2017.']"
9,251,9_volcanic_eruption_eruptions_volcano,"['volcanic', 'eruption', 'eruptions', 'volcano', 'volcanoes', 'lava', 'flows', 'volcanism', 'rock', 'formed']","['Both were explosive eruptions with a Volcanic Explosivity Index of at least 5.', 'Eldgjá and the Katla volcano are part of the same volcanic system in the south of the country.', 'All of the eruptions listed below have produced at least 1000 km3 of lava and tephra ; for explosive eruptions, this corresponds to a Volcanic Explosivity Index (or VEI) of 8.']"
